Date, Open, High, Low, Close
10/18/17, 6128.91, 6129.49, 6106.85, 6114.35
10/17/17, 6111.32, 6122.82, 6103.66, 6122.61
10/16/17, 6108.66, 6115.53, 6095.63, 6114.53
10/13/17, 6094.72, 6100.06, 6087.02, 6092.45
10/12/17, 6072.21, 6093.76, 6063.47, 6069.99
10/11/17, 6062.73, 6082.25, 6052.44, 6081.25
10/10/17, 6078.27, 6084.14, 6036.72, 6063.52
10/09/17, 6071.96, 6078.81, 6051.33, 6058.53
10/06/17, 6037.44, 6064.68, 6037.02, 6064.57
10/05/17, 6018.27, 6059.21, 6014.77, 6057.14
10/04/17, 5983.31, 6009.81, 5976.12, 5998.84
10/03/17, 5986.85, 5999.19, 5976.65, 5995.06
10/02/17, 5988.96, 6005.20, 5955.83, 5981.92
09/29/17, 5941.78, 5980.22, 5930.82, 5979.30
09/28/17, 5920.65, 5939.22, 5908.62, 5933.07
09/27/17, 5912.96, 5957.75, 5900.35, 5937.79
09/26/17, 5893.18, 5908.47, 5862.99, 5881.34
09/25/17, 5904.06, 5908.57, 5839.90, 5867.35
09/22/17, 5912.19, 5937.59, 5911.48, 5932.32
09/21/17, 5965.60, 5965.60, 5915.74, 5934.91
09/20/17, 5987.72, 5994.53, 5927.70, 5973.60
09/19/17, 5991.93, 5998.24, 5971.17, 5991.08
09/18/17, 5997.51, 6012.95, 5963.17, 5981.12
09/15/17, 5965.66, 6009.44, 5957.84, 5988.00
09/14/17, 5981.85, 5997.23, 5965.06, 5968.82
09/13/17, 5982.85, 6004.47, 5974.88, 6004.38
09/12/17, 5998.74, 6002.97, 5968.09, 5995.64
09/11/17, 5962.35, 5990.87, 5960.87, 5980.53
09/08/17, 5957.19, 5958.81, 5907.96, 5913.37
09/07/17, 5960.44, 5980.15, 5943.89, 5964.31
09/06/17, 5949.54, 5964.38, 5909.92, 5951.13
09/05/17, 5966.64, 5980.91, 5890.25, 5932.73
09/01/17, 6001.82, 6009.60, 5972.27, 5987.90
08/31/17, 5948.74, 5995.44, 5945.95, 5988.60
08/30/17, 5870.88, 5940.57, 5865.34, 5932.90
08/29/17, 5785.29, 5871.78, 5785.22, 5862.14
08/28/17, 5839.27, 5852.80, 5821.87, 5838.08
08/25/17, 5854.31, 5870.47, 5815.60, 5822.53
08/24/17, 5863.99, 5871.87, 5802.77, 5834.44
08/23/17, 5842.16, 5864.78, 5840.71, 5851.78
08/22/17, 5817.29, 5879.00, 5817.02, 5873.33
08/21/17, 5791.04, 5804.30, 5750.50, 5786.54
08/18/17, 5803.90, 5831.09, 5770.15, 5790.91
08/17/17, 5896.31, 5903.87, 5796.32, 5796.32
08/16/17, 5920.68, 5944.98, 5899.56, 5917.42
08/15/17, 5917.29, 5919.75, 5893.85, 5907.73
08/14/17, 5878.64, 5916.33, 5878.00, 5908.17
08/11/17, 5792.32, 5844.61, 5785.26, 5831.53
08/10/17, 5880.14, 5887.27, 5783.36, 5788.19
08/09/17, 5879.55, 5920.97, 5866.17, 5919.39
08/08/17, 5922.64, 5972.93, 5910.50, 5926.35
08/07/17, 5909.45, 5936.79, 5903.75, 5934.73
08/04/17, 5899.69, 5912.56, 5877.06, 5899.91
08/03/17, 5915.73, 5917.47, 5879.72, 5891.20
08/02/17, 5934.07, 5936.15, 5859.62, 5914.23
08/01/17, 5900.64, 5905.28, 5880.45, 5895.17
07/31/17, 5928.69, 5932.37, 5871.79, 5880.33
07/28/17, 5883.70, 5918.31, 5868.92, 5908.92
07/27/17, 5994.02, 5995.77, 5847.05, 5917.03
07/26/17, 5944.16, 5954.38, 5939.17, 5950.73
07/25/17, 5927.10, 5945.06, 5916.29, 5930.65
07/24/17, 5920.93, 5950.57, 5912.74, 5941.37
07/21/17, 5905.60, 5921.52, 5890.25, 5921.52
07/20/17, 5929.58, 5932.61, 5896.61, 5921.22
07/19/17, 5898.40, 5922.37, 5895.53, 5916.16
07/18/17, 5832.92, 5880.55, 5818.20, 5880.10
07/17/17, 5845.82, 5860.65, 5830.25, 5839.74
07/14/17, 5815.04, 5844.80, 5799.85, 5838.08
07/13/17, 5785.32, 5806.18, 5776.62, 5793.36
07/12/17, 5757.19, 5785.00, 5749.65, 5778.95
07/11/17, 5687.03, 5717.91, 5667.27, 5709.80
07/10/17, 5662.71, 5708.61, 5650.26, 5694.15
07/07/17, 5618.85, 5673.02, 5618.85, 5656.47
07/06/17, 5606.42, 5628.84, 5579.64, 5597.90
07/05/17, 5611.00, 5663.59, 5593.66, 5648.82
07/03/17, 5680.36, 5684.98, 5592.53, 5596.96
06/30/17, 5676.40, 5681.90, 5637.74, 5646.92
06/29/17, 5723.31, 5723.66, 5599.44, 5653.02
06/28/17, 5693.48, 5757.23, 5660.53, 5753.03
06/27/17, 5752.72, 5761.04, 5671.60, 5671.60
06/26/17, 5832.31, 5845.15, 5765.87, 5777.59
06/23/17, 5775.03, 5810.31, 5759.69, 5803.11
06/22/17, 5787.44, 5802.46, 5767.88, 5779.87
06/21/17, 5740.58, 5784.92, 5737.01, 5782.39
06/20/17, 5762.99, 5772.17, 5725.01, 5726.31
06/19/17, 5729.54, 5776.37, 5724.49, 5772.22
06/16/17, 5694.21, 5695.74, 5656.62, 5681.48
06/15/17, 5661.36, 5707.37, 5634.58, 5700.89
06/14/17, 5774.12, 5774.19, 5682.35, 5727.07
06/13/17, 5740.21, 5760.53, 5709.17, 5751.82
06/12/17, 5677.16, 5716.20, 5633.34, 5708.18
06/09/17, 5891.66, 5897.69, 5657.76, 5741.94
06/08/17, 5894.75, 5895.18, 5852.65, 5885.30
06/07/17, 5871.77, 5883.19, 5845.97, 5877.59
06/06/17, 5869.48, 5890.88, 5848.32, 5856.77
06/05/17, 5881.22, 5888.92, 5871.09, 5878.12
06/02/17, 5834.41, 5881.46, 5825.74, 5881.46
06/01/17, 5804.17, 5816.60, 5779.89, 5816.51
05/31/17, 5812.97, 5813.26, 5762.56, 5788.80
05/30/17, 5785.38, 5799.98, 5781.37, 5794.63
05/26/17, 5782.17, 5790.19, 5771.71, 5788.36
05/25/17, 5748.29, 5793.13, 5738.82, 5778.37
05/24/17, 5720.83, 5732.57, 5705.16, 5730.30
05/23/17, 5714.94, 5716.55, 5690.19, 5703.35
05/22/17, 5662.95, 5701.05, 5661.59, 5699.40
05/19/17, 5640.71, 5673.63, 5640.68, 5651.56
05/18/17, 5569.81, 5645.08, 5568.47, 5626.31
05/17/17, 5673.62, 5688.74, 5578.16, 5580.55
05/16/17, 5715.15, 5724.71, 5699.41, 5724.44
05/15/17, 5687.97, 5706.61, 5683.10, 5704.48
05/12/17, 5683.58, 5687.41, 5672.03, 5686.81
05/11/17, 5662.59, 5675.50, 5637.40, 5674.22
05/10/17, 5681.33, 5683.64, 5661.44, 5681.68
05/09/17, 5667.98, 5691.21, 5664.00, 5678.31
05/08/17, 5649.18, 5659.07, 5638.00, 5659.07
05/05/17, 5640.78, 5646.09, 5619.60, 5646.09
05/04/17, 5623.57, 5633.50, 5606.05, 5626.32
05/03/17, 5624.88, 5629.78, 5608.16, 5625.16
05/02/17, 5642.41, 5645.08, 5625.49, 5644.07
05/01/17, 5602.44, 5640.48, 5600.31, 5629.63
04/28/17, 5598.47, 5600.00, 5575.21, 5583.53
04/27/17, 5555.27, 5573.26, 5551.55, 5571.28
04/26/17, 5553.60, 5563.97, 5537.99, 5541.09
04/25/17, 5523.48, 5557.93, 5521.52, 5548.19
04/24/17, 5503.27, 5513.57, 5494.46, 5508.03
04/21/17, 5447.27, 5450.81, 5430.22, 5442.05
04/20/17, 5422.47, 5455.88, 5413.32, 5443.53
04/19/17, 5416.30, 5431.00, 5392.27, 5399.64
04/18/17, 5383.73, 5405.54, 5377.91, 5391.66
04/17/17, 5369.21, 5399.19, 5367.59, 5399.20
04/13/17, 5370.69, 5398.99, 5353.59, 5353.59
04/12/17, 5394.61, 5399.55, 5370.24, 5377.03
04/11/17, 5413.91, 5422.79, 5359.14, 5398.40
04/10/17, 5423.57, 5442.71, 5406.58, 5421.68
04/07/17, 5420.94, 5434.18, 5400.08, 5418.37
04/06/17, 5423.65, 5435.06, 5407.88, 5420.88
04/05/17, 5447.27, 5479.86, 5409.04, 5418.52
04/04/17, 5415.53, 5441.34, 5415.30, 5440.41
04/03/17, 5440.20, 5453.44, 5403.31, 5432.20
03/31/17, 5430.99, 5451.50, 5427.50, 5436.23
03/30/17, 5430.31, 5446.51, 5425.30, 5439.74
03/29/17, 5410.14, 5433.36, 5405.10, 5430.27
03/28/17, 5371.90, 5422.25, 5363.29, 5407.21
03/27/17, 5320.96, 5383.22, 5316.02, 5374.27
03/24/17, 5376.74, 5392.28, 5345.94, 5364.00
03/23/17, 5356.71, 5375.43, 5346.30, 5355.14
03/22/17, 5332.64, 5372.27, 5327.25, 5367.55
03/21/17, 5433.28, 5439.58, 5328.72, 5332.53
03/20/17, 5406.02, 5426.47, 5400.16, 5413.31
03/17/17, 5413.47, 5423.28, 5406.81, 5408.76
03/16/17, 5421.46, 5423.66, 5399.27, 5412.08
03/15/17, 5392.48, 5426.84, 5375.88, 5416.25
03/14/17, 5382.79, 5384.88, 5360.69, 5382.17
03/13/17, 5387.73, 5396.39, 5382.02, 5394.57
03/10/17, 5390.46, 5394.66, 5364.09, 5385.90
03/09/17, 5355.78, 5370.66, 5336.08, 5363.98
03/08/17, 5351.35, 5375.77, 5348.73, 5359.80
03/07/17, 5348.20, 5373.26, 5341.43, 5351.28
03/06/17, 5352.61, 5368.27, 5338.61, 5360.31
03/03/17, 5355.21, 5373.48, 5344.48, 5373.48
03/02/17, 5386.34, 5387.73, 5355.53, 5363.26
03/01/17, 5368.65, 5398.43, 5355.38, 5390.99
02/28/17, 5344.18, 5347.47, 5316.70, 5330.31
02/27/17, 5330.56, 5347.88, 5322.14, 5347.55
02/24/17, 5305.23, 5343.31, 5304.01, 5343.31
02/23/17, 5358.03, 5358.53, 5309.99, 5332.37
02/22/17, 5345.18, 5354.73, 5335.80, 5352.13
02/21/17, 5334.57, 5353.16, 5330.47, 5350.73
02/17/17, 5295.49, 5324.72, 5291.69, 5324.72
02/16/17, 5306.38, 5316.79, 5287.54, 5300.64
02/15/17, 5266.12, 5304.34, 5264.44, 5302.39
02/14/17, 5251.36, 5271.10, 5238.69, 5271.07
02/13/17, 5242.49, 5262.41, 5241.00, 5256.82
02/10/17, 5219.81, 5234.27, 5212.84, 5226.69
02/09/17, 5200.17, 5221.62, 5196.07, 5212.16
02/08/17, 5176.50, 5201.57, 5168.98, 5196.58
02/07/17, 5178.85, 5196.27, 5174.34, 5185.88
02/06/17, 5154.18, 5167.97, 5148.06, 5167.96
02/03/17, 5153.61, 5165.47, 5147.58, 5161.60
02/02/17, 5141.27, 5162.56, 5128.76, 5147.70
